text,href
plannings des soutenances des PFEs de 3èmes années,/actualites/plannings-des-soutenances-des-PFEs-de-3emes-annees-63267
Dépôt des mémoires de licence 3BIS et BI / Session Mai 2025,/actualites/Depot-des-memoires-de-licence-3BIS-et-BI-Session-Mai-2025-55275
Cours : Advanced Topics in Game Theory,/actualites/Cours-Advanced-Topics-in-Game-Theory-71993
Toute l'actualité,/actualites
Licences,/licence
"La formation en licence est un équilibre entre théorie et pratique. Nous proposons un cycle de connaissances pluridisciplinaires qui associe à la fois les compétences fondamentales aux compétences linguistiques, digitales et entrepreneuriales.",/licence
Masters Professionnels,/master
"Une formation graduée d’excellence, permettant une spécialisation dans un domaine professionnel spécifique pour une meilleure adaptation au marché de l’emploi.",/master
Masters de recherche,/master
Une formation qui se nourrit de la force scientifique de son équipe pédagogique et offre aux étudiants une double orientation (académique et professionnelle).,/master
Doctorat,/doctorat
Une formation par la recherche qui prépare les étudiants au meilleur niveau académique. Elle est soutenue par les sept structures de recherche couvrant les différentes disciplines en Sciences de Gestion et en Informatique de Gestion.,/doctorat
Lire plus,https://isg.rnu.tn/evenements/CCC-2022-Conference-deadline-extended-to-15th-of-November-2022
202304Dec.l’ISG de Tunis20ème conférence de...Retour en images sur les moments inoubliables de la 20ème conférence...,/evenements/20eme-conference-de-l-Association-Tunisienne-de-Marketing
202306Jan.l’ISG de TunisConvention de Partenariat...Nous avons le plaisir de vous annoncer la signature de la convention...,/evenements/Convention-de-Partenariat-entre-ISG-de-Tunis-et-ESTA-School-of-Business-and-Technology
202204Apr.l’ISG de TunisMédaille d'or en volley...Très heureux de vous annoncer que nos champions ISGeois ont...,/evenements/Medaille-d-or-en-volley-mixte-et-en-badminton
Tous les événements,/evenements
,https://www.uib.com.tn/
,https://www.biat.com.tn/
,http://www.attijaribank.com.tn/Fr/
,https://www.bt.com.tn/
,http://www.bvmt.com.tn/
,https://www.ey.com/en_tn
,https://www.e-i.com/fr/index.html
,https://www.microsoft.com/fr-tn
,https://career.linedata.com/fr/tunisie/
,https://www.soprahr.com/
,https://www.sofrecom.com/
,http://www.advancia-training.com/Fr/
,https://www.ansi.tn/
,https://injaz-tunisia.org/
,https://iccwbo.org/
,https://www.ulaval.ca/
,http://www.unife.it/it
,https://www.facebook.com/isgtunis.officiel/
,#
,https://www.linkedin.com/school/institutsup%C3%A9rieurdegestiondetunis/?originalSubdomain=fr
,#
actualités,/actualites
evenements,/evenements
espaces,/admin
formations,/formations
,https://www.facebook.com/isgtunis.officiel/
,#
,https://www.linkedin.com/school/institutsup%C3%A9rieurdegestiondetunis/?originalSubdomain=fr
,#
,mailto:Direction.isg@isg.rnu.tn
,https://www.innovup.com.tn/
